Reference area,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,,,,,,
Switzerland,2022,78.25,PT_BD_AV_ICU,,,,,,
Switzerland,2021,78.97,PT_BD_AV_ICU,,,,,,
Croatia,2021,90.2,PT_BD_AV_ICU,,,,,,
Croatia,2020,61.7,PT_BD_AV_ICU,,,,,,
Croatia,2019,72.1,PT_BD_AV_ICU,,,,,,
Croatia,2018,76.4,PT_BD_AV_ICU,,,,,,
Croatia,2017,81.9,PT_BD_AV_ICU,,,,,,
Croatia,2016,79.2,PT_BD_AV_ICU,,,,,,
Croatia,2015,75.1,PT_BD_AV_ICU,,,,,,
Croatia,2022,76.01,PT_BD_AV_ICU,,,,,,
Lithuania,2020,53.67,PT_BD_AV_ICU,,,,,,
Lithuania,2019,65.55,PT_BD_AV_ICU,,,,,,
Lithuania,2018,62.11,PT_BD_AV_ICU,,,,,,
Lithuania,2017,63.41,PT_BD_AV_ICU,,,,,,
Lithuania,2016,62.13,PT_BD_AV_ICU,,,,,,
Lithuania,2015,62.48,PT_BD_AV_ICU,,,,,,
Lithuania,2022,51.29,PT_BD_AV_ICU,,,,,,
Lithuania,2021,55.69,PT_BD_AV_ICU,,,,,,
Finland,2020,57.4,PT_BD_AV_ICU,,,,,,
Finland,2019,64.5,PT_BD_AV_ICU,,,,,,
Finland,2022,58.4,PT_BD_AV_ICU,,,,,,
Finland,2021,61.5,PT_BD_AV_ICU,,,,,,
Spain,2021,56.51,PT_BD_AV_ICU,,,,,,
Spain,2020,54.58,PT_BD_AV_ICU,,,,,,
Spain,2019,57.25,PT_BD_AV_ICU,,,,,,
Spain,2018,56.13,PT_BD_AV_ICU,,,,,,
Spain,2017,57.06,PT_BD_AV_ICU,,,,,,
Spain,2016,62.94,PT_BD_AV_ICU,,,,,,
Spain,2015,61.4,PT_BD_AV_ICU,,,,,,
Spain,2022,52.72,PT_BD_AV_ICU,,,,,,
Canada,2022,79.45,PT_BD_AV_ICU,,,,,,
Canada,2021,80.33,PT_BD_AV_ICU,,,,,,
Canada,2019,76.61,PT_BD_AV_ICU,,,,,,
Canada,2018,78.93,PT_BD_AV_ICU,,,,,,
Canada,2017,78.03,PT_BD_AV_ICU,,,,,,
Canada,2016,76.29,PT_BD_AV_ICU,,,,,,
Canada,2015,77.15,PT_BD_AV_ICU,,,,,,
